"题目",A,B,C,D,正确答案
"猫粮属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"节能灯属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"含汞的体温计属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"打火机属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"虾壳属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"回形针属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"隐形眼镜属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"废弃的植物属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"喝过的奶茶杯子属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"椰子壳属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"过期的感冒药属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"口红属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"二手手机属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"葡萄干属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"干香菇属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"桂圆干属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"红枣属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"烟头属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"碎纸机处理过的碎纸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"包了口香糖的纸巾属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"水果核属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"擦鼻涕的餐巾纸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"使用过的卫生巾属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"湿巾纸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"鸡骨头属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"X光片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"相机底片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"板蓝根包装袋属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"手机电板属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"眼药水瓶属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"钙片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"酒精属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"LV包属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"U盘属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"玻璃杯属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"不锈钢锅铲属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"充电宝属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"护肤品空瓶属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"笔属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"贝壳属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"便利贴属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"鼻屎属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"CD属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"吃过的口香糖属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"串串竹签属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"蚊香片属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"用过的尿不湿属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,A
"奶茶里的珍珠属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"过期饼干属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"白砂糖属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"葱属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"蜂蜜属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,B
"樟脑丸属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"指甲油属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,C
"菜刀属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
"电线属于什么垃圾？",干垃圾,湿垃圾,有害垃圾,可回收垃圾,D
